epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4547.55,1.17336,0.99437,0.01917,0.8074,0.75325,0.79181,0.51774,1.19319,1.00074,0.02686,0.0014588,0.0014588,0.0014588
43,4637.64,1.19705,0.95823,0.01961,0.80724,0.71615,0.77281,0.51929,1.19849,1.01042,0.02679,0.0014456,0.0014456,0.0014456
44,4727.13,1.18389,0.98151,0.01979,0.81958,0.7526,0.80437,0.53195,1.19355,0.96942,0.02653,0.0014324,0.0014324,0.0014324
45,4815.83,1.15992,0.97319,0.01943,0.80864,0.71094,0.78785,0.51001,1.23669,0.99866,0.02863,0.0014192,0.0014192,0.0014192
46,4905.08,1.14616,0.97517,0.01877,0.81469,0.76823,0.79488,0.52818,1.20568,0.91663,0.02675,0.001406,0.001406,0.001406
47,4993.96,1.1725,0.96409,0.01918,0.83741,0.69746,0.78504,0.52203,1.20913,0.97453,0.02749,0.0013928,0.0013928,0.0013928
48,5079.73,1.16702,0.9362,0.01911,0.78755,0.76823,0.80596,0.54948,1.16282,0.90584,0.02519,0.0013796,0.0013796,0.0013796
49,5166.92,1.1376,0.91069,0.01864,0.80317,0.74479,0.79413,0.52621,1.21163,0.93941,0.02734,0.0013664,0.0013664,0.0013664
50,5253.12,1.17217,0.9471,0.019,0.82928,0.73372,0.80885,0.5408,1.1903,0.91711,0.02706,0.0013532,0.0013532,0.0013532
51,5339.08,1.13215,0.91928,0.0187,0.7837,0.76562,0.78831,0.51896,1.18714,0.96536,0.02688,0.00134,0.00134,0.00134
52,5426.65,1.1517,0.91767,0.01875,0.77215,0.77344,0.80113,0.51992,1.20641,0.95689,0.02764,0.0013268,0.0013268,0.0013268
53,5512.26,1.13514,0.92449,0.01837,0.79952,0.76823,0.79836,0.52822,1.19432,0.93682,0.02685,0.0013136,0.0013136,0.0013136
54,5598.88,1.13658,0.91163,0.01858,0.76,0.75043,0.7976,0.53619,1.17748,0.92471,0.02641,0.0013004,0.0013004,0.0013004
55,5686.37,1.15922,0.93327,0.01834,0.81017,0.75,0.80209,0.54836,1.16764,0.89518,0.02594,0.0012872,0.0012872,0.0012872
